,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,137.5,Sea Horse,1,138.0,443,.478,.786,1.8939051918735892,.382*,17.36568848758465,1.3340857787810383,4.977426636568849,3.379232505643341,0.9232505643340858,0.5981941309255079,1.9548532731376975,2.049661399548533,0.17155756207674944,2910,6089,2910/6089,1034,1316,1034/1316,839,2197
2,133.5,Shark,2,134.0,437,.492,.815,1.379862700228833,.357*,16.787185354691076,1.2265446224256293,4.556064073226545,4.048054919908467,1.0869565217391304,0.6430205949656751,1.759725400457666,2.267734553775744,0.16933638443935928,2704,5501,2704/5501,1325,1625,1325/1625,603,1688
3,128.0,STaNo. 1水嫩嫩鮭魚生魚片,3,131.5,468,.484*,.778*,1.6666666666666667,.382*,16.94871794871795,1.3675213675213675,4.713675213675214,3.6324786324786325,0.9294871794871795,0.5235042735042735,1.9636752136752136,2.232905982905983,0.17735042735042736,2897,5990,2897/5990,1358,1745,1358/1745,780,2043
4,126.5,Sea Weed,7,122.5,442,.486,.787,1.2669683257918551,.357*,14.968325791855204,1.3823529411764706,4.3076923076923075,3.8800904977375565,1.1153846153846154,0.7126696832579186,1.834841628959276,2.3619909502262444,0.18099547511312217,2535,5221,2535/5221,986,1253,986/1253,560,1567
5,125.0,Sea Urchin,4,127.5,453,.504,.765,0.9293598233995585,.401,13.373068432671081,1.5739514348785872,4.593818984547461,3.7880794701986753,0.9448123620309051,0.6313465783664459,1.8565121412803531,2.185430463576159,0.16777041942604856,2260,4485,2260/4485,1117,1460,1117/1460,421,1051
6,124.5,JS Shrimp,6,125.0,450,.468*,.790,1.9111111111111112,.375,16.842222222222222,1.2533333333333334,4.6866666666666665,3.6755555555555555,0.8555555555555555,0.6133333333333333,1.9444444444444444,2.2422222222222223,0.2,2738,5845,2738/5845,1243,1573,1243/1573,860,2295
7,122.5,Sponge,5,126.0,451,.472*,.779,1.8447893569844789,.379,15.470066518847007,1.0088691796008868,4.760532150776053,3.2527716186252773,0.917960088691796,0.7339246119733924,1.8580931263858094,2.1352549889135255,0.14855875831485588,2509,5320,2509/5320,1127,1447,1127/1447,832,2193
8,117.5,Oysters,9,108.5,422,.464,.839*,2.3127962085308056,.393,16.36729857819905,0.9739336492890995,4.350710900473934,3.890995260663507,0.933649289099526,0.4004739336492891,1.9218009478672986,2.234597156398104,0.13270142180094788,2507,5406,2507/5406,917,1093,917/1093,976,2485
9,112.0,Little Whale,11,105.0,434,.468*,.808*,1.619815668202765,.372,14.78110599078341,1.1866359447004609,4.3018433179723505,2.9907834101382487,0.9331797235023042,0.7741935483870968,1.5391705069124424,2.0276497695852536,0.08986175115207373,2337,4998,2337/4998,1038,1285,1038/1285,703,1889
10,110.0,螃蟹,8,110.0,441,.470,.776,1.6439909297052153,.370,15.655328798185941,1.5374149659863945,5.126984126984127,3.5895691609977325,0.8820861678004536,0.4557823129251701,1.9546485260770976,2.365079365079365,0.2811791383219955,2570,5470,2570/5470,1039,1339,1039/1339,725,1960
11,101.0,鯉魚王,10,107.5,446,.456,.808*,1.9170403587443947,.378*,14.02017937219731,1.1704035874439462,4.271300448430493,3.197309417040359,1.109865470852018,0.6659192825112108,1.594170403587444,2.403587443946188,0.12780269058295965,2197,4819,2197/4819,1004,1242,1004/1242,855,2264
12,98.0,翻車魚丸,12,102.5,454,.461,.753,1.6343612334801763,.365,14.940528634361234,1.2731277533039647,4.757709251101321,2.7246696035242293,0.8700440528634361,0.6365638766519823,1.6850220264317182,2.2202643171806167,0.1828193832599119,2517,5460,2517/5460,1007,1338,1007/1338,742,2034
13,89.5,Mermaid,13,90.0,442,.467,.839*,1.3891402714932126,.345,14.371040723981901,1.3755656108597285,4.14027149321267,3.1108597285067874,0.755656108597285,0.7828054298642534,1.8054298642533937,2.330316742081448,0.1425339366515837,2267,4852,2267/4852,1204,1435,1204/1435,614,1782
14,85.5,Sea Cucumber,14,88.5,442,.466,.783,1.744343891402715,.378*,15.40950226244344,1.1040723981900453,4.461538461538462,3.506787330316742,0.8076923076923077,0.5995475113122172,2.0452488687782804,2.269230769230769,0.16289592760180996,2471,5302,2471/5302,1098,1402,1098/1402,771,2040
15,81.5,透抽,15,86.5,440,.472*,.778*,1.6090909090909091,.364,16.615909090909092,0.9568181818181818,4.25,3.452272727272727,0.865909090909091,0.6431818181818182,2.0113636363636362,2.209090909090909,0.12954545454545455,2627,5571,2627/5571,1349,1733,1349/1733,708,1947
16,75.5,吻仔魚去頭去尾留中段,16,65.0,378,.484*,.778*,1.1693121693121693,.333,14.28042328042328,1.0714285714285714,3.791005291005291,2.986772486772487,0.753968253968254,0.7063492063492064,1.6719576719576719,1.9206349206349207,0.1164021164021164,1994,4117,1994/4117,968,1244,968/1244,442,1328
