,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,141.5,Sea Horse,1,141.0,348,0.479,0.792,1.8908045977011494,.377*,17.732758620689655,1.2758620689655173,5.074712643678161,3.425287356321839,0.9425287356321839,0.6063218390804598,1.9597701149425288,2.0689655172413794,0.16666666666666666,2346,4893,2346/4893,821,1037,821/1037,658,1747
2,137.0,Sea Urchin,3,131.0,351,0.502,0.7759999999999999,0.9145299145299145,.387,13.86039886039886,1.5441595441595442,4.52991452991453,3.9173789173789175,0.9458689458689459,0.6467236467236467,1.8774928774928774,2.219373219373219,0.18518518518518517,1803,3592,1803/3592,938,1208,938/1208,321,830
3,132.0,JS Shrimp,2,131.5,340,0.47600000000000003,0.7859999999999999,1.8735294117647059,.386,16.61470588235294,1.3735294117647059,4.705882352941177,3.626470588235294,0.8058823529411765,0.6176470588235294,1.9205882352941177,2.291176470588235,0.22941176470588234,2042,4286,2042/4286,928,1180,928/1180,637,1650
4,127.0,Sponge,4,128.0,345,0.473,0.787,1.9072463768115941,.391,15.646376811594203,0.9710144927536232,4.742028985507246,3.246376811594203,0.8782608695652174,0.7507246376811594,1.9130434782608696,2.1768115942028987,0.14492753623188406,1941,4101,1941/4101,858,1090,858/1090,658,1685
5,125.0,Shark,5,126.5,332,0.491,0.807,1.4066265060240963,.368,16.542168674698797,1.2108433734939759,4.427710843373494,4.015060240963855,1.0481927710843373,0.6325301204819277,1.8012048192771084,2.319277108433735,0.15060240963855423,2028,4129,2028/4129,969,1201,969/1201,467,1270
6,125.0,Little Whale,6,126.0,339,0.475,0.816,1.7227138643067847,.384,15.064896755162241,1.1533923303834808,4.410029498525073,3.0265486725663715,0.9262536873156342,0.7699115044247787,1.519174041297935,2.0678466076696167,0.0943952802359882,1849,3896,1849/3896,825,1011,825/1011,584,1522
7,122.0,Sea Weed,8,116.0,332,0.483,0.7909999999999999,1.3253012048192772,.361,15.271084337349398,1.3674698795180722,4.304216867469879,3.9126506024096384,1.1566265060240963,0.7259036144578314,1.8885542168674698,2.3855421686746987,0.18373493975903615,1947,4032,1947/4032,736,931,736/931,440,1219
8,114.0,Oysters,9,115.0,328,0.461,0.836,2.326219512195122,.388,16.25,1.0518292682926829,4.460365853658536,3.9054878048780486,0.9115853658536586,0.43597560975609756,1.9451219512195121,2.222560975609756,0.1402439024390244,1934,4197,1934/4197,699,836,699/836,763,1965
9,113.0,STaNo. 1水嫩嫩鮭魚生魚片,7,121.5,371,0.474,0.764,1.6361185983827493,.371,16.6900269541779,1.2884097035040432,4.749326145552561,3.6226415094339623,0.9326145552560647,0.5606469002695418,1.9973045822102427,2.30188679245283,0.1752021563342318,2250,4747,2250/4747,1085,1420,1085/1420,607,1636
10,106.0,螃蟹,10,108.0,345,0.466,0.772,1.6608695652173913,.372,15.263768115942028,1.4782608695652173,4.898550724637682,3.4956521739130433,0.863768115942029,0.42318840579710143,1.901449275362319,2.347826086956522,0.263768115942029,1963,4208,1963/4208,767,993,767/993,573,1540
11,101.5,翻車魚丸,11,107.0,352,0.467,0.754,1.7017045454545454,.377*,15.076704545454545,1.2698863636363635,4.565340909090909,2.602272727272727,0.8210227272727273,0.6335227272727273,1.6107954545454546,2.2045454545454546,0.16477272727272727,1967,4210,1967/4210,774,1026,774/1026,599,1588
12,91.0,透抽,14,78.5,324,0.47200000000000003,0.784,1.5895061728395061,.370,16.62962962962963,0.9969135802469136,4.2592592592592595,3.6080246913580245,0.845679012345679,0.6450617283950617,2.058641975308642,2.2376543209876543,0.14814814814814814,1918,4064,1918/4064,1037,1323,1037/1323,515,1391
13,90.0,Mermaid,13,95.5,346,0.46799999999999997,0.835,1.384393063583815,.345,14.592485549132949,1.3959537572254335,4.167630057803469,3.1098265895953756,0.8063583815028902,0.7485549132947977,1.7976878612716762,2.3959537572254335,0.14450867052023122,1789,3819,1789/3819,992,1188,992/1188,479,1389
14,88.0,鯉魚王,12,96.5,350,0.452,0.797,1.8542857142857143,.369,13.8,1.2114285714285715,4.1657142857142855,3.0514285714285716,1.1028571428571428,0.6371428571428571,1.6057142857142856,2.422857142857143,0.12285714285714286,1710,3787,1710/3787,761,955,761/955,649,1758
15,79.0,吻仔魚去頭去尾留中段,16,71.0,307,0.484,0.7829999999999999,1.218241042345277,.332,14.433224755700326,1.0814332247557004,3.8403908794788273,2.9218241042345277,0.7296416938110749,0.7035830618892508,1.6840390879478828,1.9185667752442996,0.1237785016286645,1627,3362,1627/3362,803,1025,803/1025,374,1127
16,76.0,Sea Cucumber,15,75.0,341,0.46399999999999997,0.769,1.6715542521994136,.367,15.390029325513197,1.0557184750733137,4.557184750733138,3.5102639296187683,0.7888563049853372,0.5483870967741935,2.067448680351906,2.2404692082111435,0.17302052785923755,1909,4112,1909/4112,860,1119,860/1119,570,1555
