,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD
1,139.5,Little Whale,11,114.5,29,.479,0.836,2.1724137931034484,.399*,16.344827586206897,1.0,4.9655172413793105,3.310344827586207,0.9655172413793104,0.6206896551724138,2.0689655172413794,2.206896551724138,0.10344827586206896
2,138.0,Sea Weed,1,139.5,34,.508,0.8140000000000001,1.411764705882353,.378,15.264705882352942,1.3235294117647058,4.117647058823529,4.264705882352941,0.9411764705882353,0.7352941176470589,1.9411764705882353,2.264705882352941,0.23529411764705882
3,128.5,螃蟹,5,120.5,34,.471,0.74,1.5,.357,16.58823529411765,1.5294117647058822,6.382352941176471,4.5,1.0,0.5,2.3823529411764706,2.8529411764705883,0.4117647058823529
4,126.5,Sea Horse,2,136.0,39,.456,0.7759999999999999,1.8717948717948718,.399*,16.794871794871796,1.4102564102564104,4.923076923076923,3.358974358974359,0.8717948717948718,0.38461538461538464,2.2051282051282053,2.0256410256410255,0.1794871794871795
5,125.0,JS Shrimp,12,100.0,28,.475,0.716,1.3214285714285714,.370,15.928571428571429,1.9285714285714286,5.428571428571429,3.607142857142857,0.9285714285714286,0.5714285714285714,2.4642857142857144,2.2142857142857144,0.2857142857142857
6,117.5,STaNo. 1水嫩嫩鮭魚生魚片,9,115.5,36,.464,0.6940000000000001,1.6666666666666667,.366,17.11111111111111,1.1388888888888888,5.027777777777778,3.0277777777777777,1.1111111111111112,0.4444444444444444,1.8888888888888888,2.4166666666666665,0.19444444444444445
7,114.5,Sea Urchin,7,117.5,36,.530,0.728,0.8611111111111112,.437,14.0,1.3611111111111112,4.555555555555555,3.3055555555555554,0.9722222222222222,0.9166666666666666,2.0555555555555554,2.6944444444444446,0.08333333333333333
8,113.5,Mermaid,6,118.5,37,.489,0.865,1.4864864864864864,.350,15.35135135135135,0.972972972972973,3.7027027027027026,2.918918918918919,1.054054054054054,1.0,1.6216216216216217,2.2162162162162162,0.02702702702702703
9,112.5,鯉魚王,4,122.0,37,.465,0.732,1.5405405405405406,.352,13.08108108108108,1.2972972972972974,4.54054054054054,3.2162162162162162,1.162162162162162,0.7837837837837838,1.837837837837838,2.27027027027027,0.16216216216216217
10,111.5,Oysters,3,122.5,37,.450,0.879,2.3513513513513513,.372*,15.64864864864865,0.7837837837837838,4.108108108108108,3.324324324324324,0.972972972972973,0.5675675675675675,2.1621621621621623,2.2432432432432434,0.08108108108108109
11,108.0,透抽,9,115.5,37,.467*,0.795,1.4864864864864864,.372*,16.62162162162162,1.3513513513513513,4.405405405405405,3.189189189189189,0.8648648648648649,0.5405405405405406,1.9189189189189189,2.7027027027027026,0.16216216216216217
12,104.5,Sponge,8,116.5,37,.448,0.8,1.6216216216216217,.323,16.216216216216218,1.0810810810810811,4.918918918918919,2.918918918918919,1.2972972972972974,0.7027027027027027,2.4864864864864864,2.324324324324324,0.21621621621621623
13,100.5,Shark,14,90.5,33,.467*,0.805,1.1515151515151516,.355,13.515151515151516,1.3636363636363635,3.6666666666666665,3.515151515151515,1.3333333333333333,0.45454545454545453,1.6666666666666667,2.909090909090909,0.030303030303030304
14,95.5,Sea Cucumber,13,98.0,36,.457,0.785,1.5833333333333333,.348,16.305555555555557,1.1111111111111112,4.111111111111111,4.0,0.9166666666666666,0.5,2.2222222222222223,2.6944444444444446,0.19444444444444445
15,80.0,吻仔魚去頭去尾留中段,15,83.5,37,.481,0.7659999999999999,0.8378378378378378,.307,12.756756756756756,1.1081081081081081,3.324324324324324,2.2162162162162162,0.5675675675675675,0.6756756756756757,1.162162162162162,1.9189189189189189,0.05405405405405406
16,52.5,翻車魚皮,16,57.5,37,.419,0.779,1.7567567567567568,.351,12.486486486486486,0.5945945945945946,3.0,2.4864864864864864,0.8378378378378378,0.43243243243243246,2.0,2.4594594594594597,0.02702702702702703
