,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,143.5,Sea Horse,1,139.5,415,.480,.784,1.9132530120481928,.384,17.587951807228915,1.3180722891566266,5.019277108433735,3.387951807228916,0.9301204819277108,0.6024096385542169,1.997590361445783,2.040963855421687,0.17349397590361446,2774,5776,2774/5776,957,1220,957/1220,794,2069
2,136.0,Shark,2,137.0,410,.493,.816,1.4024390243902438,.362,16.78780487804878,1.2097560975609756,4.541463414634146,4.009756097560976,1.0804878048780489,0.6487804878048781,1.7682926829268293,2.2804878048780486,0.16341463414634147,2540,5151,2540/5151,1228,1504,1228/1504,575,1589
3,130.5,JS Shrimp,5,127.5,415,.470,.786,1.9132530120481928,.376,16.90843373493976,1.3156626506024096,4.7542168674698795,3.6963855421686747,0.8481927710843373,0.6120481927710844,1.9734939759036145,2.2867469879518074,0.20963855421686747,2533,5392,2533/5392,1157,1472,1157/1472,794,2111
4,127.0,Sea Urchin,5,127.5,421,.502,.767,0.9334916864608076,.395,13.491686460807601,1.5653206650831355,4.5866983372921615,3.857482185273159,0.9477434679334917,0.6318289786223278,1.8859857482185274,2.2114014251781473,0.16864608076009502,2117,4215,2117/4215,1053,1372,1053/1372,393,996
5,124.5,Sea Weed,7,122.0,412,.487,.783*,1.2864077669902914,.361,15.012135922330097,1.383495145631068,4.317961165048544,3.8567961165048543,1.1310679611650485,0.6990291262135923,1.825242718446602,2.3592233009708736,0.1820388349514563,2375,4880,2375/4880,905,1156,905/1156,530,1467
6,124.0,Sponge,3,131.0,425,.472*,.783*,1.88,.383,15.501176470588236,0.9882352941176471,4.715294117647058,3.251764705882353,0.8964705882352941,0.7341176470588235,1.8541176470588234,2.1458823529411766,0.14823529411764705,2368,5013,2368/5013,1053,1344,1053/1344,799,2084
7,123.0,STaNo. 1水嫩嫩鮭魚生魚片,4,128.0,441,.481,.772,1.653061224489796,.378,16.891156462585034,1.3650793650793651,4.741496598639456,3.6780045351473922,0.9183673469387755,0.5215419501133787,1.9750566893424035,2.2675736961451247,0.17913832199546487,2724,5668,2724/5668,1272,1647,1272/1647,729,1929
8,111.0,Oysters,10,103.5,394,.461,.834,2.299492385786802,.390,16.15228426395939,0.9822335025380711,4.345177664974619,3.83248730964467,0.9137055837563451,0.4086294416243655,1.9187817258883249,2.230964467005076,0.1319796954314721,2309,5010,2309/5010,840,1007,840/1007,906,2326
9,110.5,螃蟹,8,112.0,413,.472*,.776,1.6416464891041163,.373*,15.491525423728813,1.5617433414043584,5.12590799031477,3.49636803874092,0.8789346246973365,0.46731234866828086,1.9322033898305084,2.3656174334140436,0.28329297820823246,2381,5045,2381/5045,958,1235,958/1235,678,1818
10,110.5,Little Whale,9,109.0,410,.468*,.813,1.6365853658536584,.373*,14.792682926829269,1.1634146341463414,4.326829268292683,2.997560975609756,0.9243902439024391,0.7658536585365854,1.548780487804878,2.0365853658536586,0.08780487804878048,2204,4708,2204/4708,986,1213,986/1213,671,1798
11,98.0,翻車魚丸,12,99.0,419,.464,.749,1.6849642004773269,.373*,15.021479713603819,1.2840095465393795,4.7040572792362765,2.7183770883054894,0.8591885441527446,0.6252983293556086,1.6706443914081146,2.2338902147971362,0.17899761336515513,2334,5031,2334/5031,920,1228,920/1228,706,1892
12,93.0,鯉魚王,11,100.0,421,.454,.807,1.850356294536817,.369,13.938242280285035,1.190023752969121,4.24228028503563,3.1947743467933494,1.1021377672209025,0.669833729216152,1.5843230403800475,2.4038004750593824,0.12826603325415678,2067,4555,2067/4555,955,1184,955/1184,779,2111
13,88.5,Mermaid,14,88.5,411,.468*,.839,1.391727493917275,.342,14.562043795620438,1.3795620437956204,4.131386861313868,3.145985401459854,0.7664233576642335,0.7883211678832117,1.829683698296837,2.3260340632603405,0.1362530413625304,2133,4560,2133/4560,1147,1367,1147/1367,572,1671
14,87.0,Sea Cucumber,13,91.5,413,.466,.782,1.7699757869249395,.380,15.641646489104117,1.0847457627118644,4.472154963680388,3.5472154963680387,0.7941888619854721,0.585956416464891,2.0847457627118646,2.288135593220339,0.162227602905569,2342,5022,2342/5022,1045,1337,1045/1337,731,1924
15,83.5,透抽,15,84.0,406,.471,.779*,1.603448275862069,.363,16.647783251231527,0.9901477832512315,4.288177339901478,3.4655172413793105,0.8448275862068966,0.6330049261083743,2.0320197044334973,2.206896551724138,0.1354679802955665,2421,5137,2421/5137,1266,1625,1266/1625,651,1791
16,77.5,吻仔魚去頭去尾留中段,16,68.0,361,.482,.779*,1.1662049861495845,.329,14.346260387811634,1.10803324099723,3.847645429362881,3.0083102493074794,0.7506925207756233,0.6980609418282548,1.6759002770083102,1.9141274238227146,0.12188365650969529,1915,3975,1915/3975,928,1191,928/1191,421,1280
