,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,143.0,Sea Horse,1,142.5,344,.478,.793,1.8837209302325582,.375,17.683139534883722,1.2790697674418605,5.084302325581396,3.4098837209302326,0.9447674418604651,0.6133720930232558,1.938953488372093,2.0552325581395348,0.16569767441860464,2311,4830,2311/4830,813,1025,813/1025,648,1726
2,135.0,JS Shrimp,3,127.5,337,.477,.787,1.8872403560830862,.387,16.70326409495549,1.3798219584569733,4.682492581602374,3.629080118694362,0.8071216617210683,0.6083086053412463,1.9317507418397626,2.2967359050445104,0.2314540059347181,2033,4263,2033/4263,927,1178,927/1178,636,1643
3,134.0,Sea Urchin,2,128.5,345,.501,.774,0.9072463768115943,.385,13.88695652173913,1.5449275362318842,4.501449275362319,3.9420289855072466,0.9478260869565217,0.6463768115942029,1.8782608695652174,2.2289855072463767,0.17971014492753623,1777,3544,1777/3544,924,1194,924/1194,313,814
4,127.0,Shark,3,127.5,329,.490,.806,1.4133738601823709,.368,16.486322188449847,1.209726443768997,4.449848024316109,4.0212765957446805,1.0455927051671732,0.6322188449848024,1.8024316109422491,2.3221884498480243,0.1519756838905775,2003,4084,2003/4084,953,1182,953/1182,465,1265
5,127.0,Sponge,3,127.5,339,.474,.788,1.896755162241888,.389,15.684365781710914,0.976401179941003,4.755162241887906,3.247787610619469,0.8790560471976401,0.7404129793510325,1.8997050147492625,2.1828908554572273,0.14454277286135694,1912,4035,1912/4035,850,1079,850/1079,643,1651
6,124.0,Little Whale,7,124.0,336,.475,.816,1.7321428571428572,.384,15.104166666666666,1.1636904761904763,4.410714285714286,3.0238095238095237,0.9255952380952381,0.7767857142857143,1.5238095238095237,2.0714285714285716,0.09523809523809523,1838,3867,1838/3867,817,1001,817/1001,582,1515
7,123.0,Sea Weed,8,116.0,327,.482,.791,1.3302752293577982,.360,15.296636085626911,1.3700305810397553,4.259938837920489,3.926605504587156,1.1590214067278288,0.7217125382262997,1.8990825688073394,2.397553516819572,0.1834862385321101,1919,3981,1919/3981,729,922,729/922,435,1209
8,112.5,STaNo. 1水嫩嫩鮭魚生魚片,6,126.0,367,.476,.763,1.6376021798365124,.372*,16.678474114441418,1.2915531335149864,4.754768392370572,3.6239782016348774,0.9264305177111717,0.5613079019073569,2.002724795640327,2.3133514986376023,0.1771117166212534,2225,4679,2225/4679,1070,1403,1070/1403,601,1615
9,110.5,Oysters,9,114.0,326,.461,.836*,2.3282208588957056,.388,16.266871165644172,1.049079754601227,4.4447852760736195,3.9079754601226995,0.911042944785276,0.43558282208588955,1.9447852760736197,2.233128834355828,0.13803680981595093,1925,4172,1925/4172,694,830,694/830,759,1954
10,105.5,螃蟹,11,106.0,341,.466,.775,1.6656891495601174,.372*,15.269794721407624,1.4838709677419355,4.909090909090909,3.495601173020528,0.8651026392961877,0.41935483870967744,1.906158357771261,2.3577712609970676,0.26392961876832843,1938,4163,1938/4163,763,985,763/985,568,1527
11,99.5,翻車魚丸,10,107.5,348,.468*,.756,1.7183908045977012,.380,15.097701149425287,1.278735632183908,4.5488505747126435,2.5833333333333335,0.8247126436781609,0.632183908045977,1.6091954022988506,2.1982758620689653,0.16379310344827586,1947,4158,1947/4158,762,1008,762/1008,598,1572
12,92.0,Mermaid,13,96.0,341,.468*,.836*,1.3782991202346042,.345,14.563049853372434,1.404692082111437,4.167155425219941,3.126099706744868,0.8152492668621701,0.750733137829912,1.7917888563049853,2.404692082111437,0.1466275659824047,1758,3759,1758/3759,980,1172,980/1172,470,1364
13,90.0,透抽,14,78.5,321,.472,.783,1.5981308411214954,.370,16.660436137071652,0.9906542056074766,4.246105919003115,3.616822429906542,0.8411214953271028,0.6386292834890965,2.046728971962617,2.230529595015576,0.14953271028037382,1905,4038,1905/4038,1025,1309,1025/1309,513,1386
14,89.0,鯉魚王,12,99.5,347,.452,.797,1.8530259365994237,.369,13.838616714697407,1.219020172910663,4.161383285302594,3.0720461095100866,1.0979827089337175,0.6426512968299711,1.6080691642651297,2.4236311239193085,0.1239193083573487,1699,3758,1699/3758,761,955,761/955,643,1742
15,79.0,吻仔魚去頭去尾留中段,16,71.0,302,.484,.782,1.228476821192053,.332,14.460264900662251,1.076158940397351,3.837748344370861,2.923841059602649,0.7284768211920529,0.695364238410596,1.6754966887417218,1.9172185430463575,0.12582781456953643,1601,3309,1601/3309,794,1015,794/1015,371,1119
16,77.0,Sea Cucumber,15,76.0,338,.463,.769,1.6715976331360947,.366,15.408284023668639,1.0621301775147929,4.559171597633136,3.5088757396449703,0.7899408284023669,0.5473372781065089,2.0798816568047336,2.2544378698224854,0.17455621301775148,1893,4085,1893/4085,857,1115,857/1115,565,1544
