,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,148.5,Sea Horse,1,156.5,183,.474*,.792,2.0546448087431695,.395,18.02185792349727,1.2513661202185793,4.972677595628415,3.3825136612021858,0.907103825136612,0.5683060109289617,1.9726775956284153,1.9781420765027322,0.16939890710382513,1230,2596,1230/2596,462,583,462/583,376,952
2,141.5,Little Whale,2,142.5,177,.469*,.801,1.8700564971751412,.388,15.711864406779661,1.1864406779661016,4.564971751412429,3.2033898305084745,0.903954802259887,0.8192090395480226,1.5706214689265536,2.1073446327683616,0.12994350282485875,1009,2151,1009/2151,432,539,432/539,331,852
3,135.0,螃蟹,3,137.0,174,.458,.787,1.8275862068965518,.375,15.74712643678161,1.2701149425287357,4.971264367816092,3.913793103448276,0.9712643678160919,0.3563218390804598,2.0057471264367814,2.3160919540229883,0.25862068965517243,998,2181,998/2181,426,541,426/541,318,849
4,130.0,Sponge,6,122.0,169,.468*,.759,1.7692307692307692,.369*,15.680473372781066,1.1538461538461537,5.035502958579881,3.1124260355029585,0.9171597633136095,0.8520710059171598,1.9585798816568047,2.171597633136095,0.1893491124260355,971,2075,971/2075,409,539,409/539,299,811
5,129.0,Sea Urchin,4,128.5,179,.503,.778,0.9273743016759777,.389,14.061452513966481,1.441340782122905,4.815642458100559,3.7318435754189943,0.8770949720670391,0.7653631284916201,1.9441340782122905,2.3798882681564244,0.1564245810055866,915,1820,915/1820,521,670,521/670,166,427
6,126.5,Sea Weed,5,124.0,177,.475,.790,1.3785310734463276,.349*,14.92090395480226,1.3672316384180792,4.129943502824859,3.7288135593220337,1.1468926553672316,0.7231638418079096,1.88135593220339,2.3220338983050848,0.1977401129943503,1008,2123,1008/2123,381,482,381/482,244,699
7,120.0,透抽,8,109.5,171,.482,.773,1.6432748538011697,.387,16.72514619883041,1.0526315789473684,4.309941520467836,3.5555555555555554,0.847953216374269,0.6432748538011696,2.1169590643274856,2.2222222222222223,0.1695906432748538,1014,2103,1014/2103,551,713,551/713,281,726
8,109.5,JS Shrimp,7,114.5,171,.468*,.753,1.6374269005847952,.367,15.532163742690058,1.5847953216374269,4.777777777777778,3.6198830409356724,0.8011695906432749,0.6374269005847953,2.017543859649123,2.3976608187134505,0.2573099415204678,968,2070,968/2070,440,584,440/584,280,763
9,102.0,Oysters,11,102.0,172,.451,.814,2.116279069767442,.368,15.168604651162791,1.052325581395349,4.47093023255814,3.7209302325581395,0.8081395348837209,0.42441860465116277,1.9127906976744187,2.3488372093023258,0.13953488372093023,958,2123,958/2123,329,404,329/404,364,990
10,101.5,Mermaid,8,109.5,184,.466,.826,1.451086956521739,.358*,14.309782608695652,1.3804347826086956,4.081521739130435,2.9293478260869565,0.907608695652174,0.8804347826086957,1.7554347826086956,2.375,0.125,932,2000,932/2000,502,608,502/608,267,746
11,99.0,Shark,12,96.0,174,.474*,.816,1.3160919540229885,.358*,14.195402298850574,1.206896551724138,4.281609195402299,3.4022988505747125,1.0632183908045978,0.632183908045977,1.603448275862069,2.557471264367816,0.10919540229885058,925,1951,925/1951,391,479,391/479,229,640
12,98.5,Sea Cucumber,13,86.5,165,.469*,.767*,1.6181818181818182,.369*,15.775757575757575,1.1272727272727272,4.733333333333333,3.4606060606060605,0.7636363636363637,0.5212121212121212,2.1818181818181817,2.272727272727273,0.15151515151515152,943,2012,943/2012,450,587,450/587,267,724
13,91.5,STaNo. 1水嫩嫩鮭魚生魚片,10,104.5,187,.461,.748,1.6149732620320856,.363,15.88770053475936,1.1283422459893049,4.449197860962567,3.625668449197861,0.9518716577540107,0.48128342245989303,2.053475935828877,2.27807486631016,0.12834224598930483,1079,2343,1079/2343,511,683,511/683,302,833
14,91.5,鯉魚王,14,86.0,173,.447,.783,1.676300578034682,.361*,13.653179190751445,1.2716763005780347,4.271676300578035,2.9653179190751446,1.0867052023121386,0.5780346820809249,1.716763005780347,2.38728323699422,0.1329479768786127,837,1873,837/1873,398,508,398/508,290,803
15,77.0,吻仔魚去頭去尾留中段,16,68.0,157,.487,.767*,1.2738853503184713,.349*,13.840764331210192,1.1019108280254777,3.828025477707006,2.5477707006369426,0.7261146496815286,0.643312101910828,1.5477707006369428,1.78343949044586,0.10191082802547771,794,1630,794/1630,385,502,385/502,200,573
16,67.0,翻車魚丸,15,81.0,187,.452,.751,1.5614973262032086,.361*,13.877005347593583,1.1711229946524064,4.0,2.449197860962567,0.7486631016042781,0.6096256684491979,1.5668449197860963,2.2887700534759357,0.12834224598930483,943,2084,943/2084,417,555,417/555,292,809
