,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,141.0,Sea Horse,1,141.0,430,.479,.786*,1.9069767441860466,.382*,17.56279069767442,1.341860465116279,5.0,3.4046511627906977,0.9302325581395349,0.6,1.9813953488372094,2.030232558139535,0.1744186046511628,2862,5980,2862/5980,1008,1283,1008/1283,820,2147
2,132.0,Shark,2,134.5,426,.493,.815,1.3896713615023475,.359,16.84037558685446,1.2136150234741785,4.546948356807512,4.037558685446009,1.0821596244131455,0.6502347417840375,1.767605633802817,2.276995305164319,0.1643192488262911,2645,5369,2645/5369,1292,1585,1292/1585,592,1649
3,128.5,JS Shrimp,5,127.0,433,.470,.790,1.9145496535796767,.374*,17.0,1.2771362586605082,4.734411085450346,3.695150115473441,0.8545034642032333,0.6212471131639723,1.9722863741339491,2.2678983833718247,0.20554272517321015,2659,5656,2659/5656,1214,1537,1214/1537,829,2217
4,126.0,STaNo. 1水嫩嫩鮭魚生魚片,3,130.5,454,.482*,.773,1.671806167400881,.382*,16.931718061674008,1.3656387665198237,4.73568281938326,3.671806167400881,0.920704845814978,0.5220264317180616,1.9691629955947136,2.248898678414097,0.17841409691629956,2807,5828,2807/5828,1314,1699,1314/1699,759,1989
5,126.0,Sea Urchin,4,128.5,438,.504,.765,0.9269406392694064,.398,13.426940639269406,1.5799086757990868,4.598173515981735,3.810502283105023,0.9474885844748858,0.636986301369863,1.8789954337899544,2.1940639269406392,0.17123287671232876,2193,4352,2193/4352,1089,1423,1089/1423,406,1021
6,124.5,Sea Weed,6,125.0,428,.486,.786*,1.2827102803738317,.360,15.007009345794392,1.3831775700934579,4.320093457943925,3.8738317757009346,1.1191588785046729,0.7079439252336449,1.8271028037383177,2.366822429906542,0.1822429906542056,2463,5068,2463/5068,948,1206,948/1206,549,1527
7,119.5,Sponge,7,123.0,440,.469,.782*,1.8409090909090908,.378,15.39090909090909,1.0068181818181818,4.759090909090909,3.268181818181818,0.9159090909090909,0.7340909090909091,1.8522727272727273,2.147727272727273,0.14772727272727273,2433,5183,2433/5183,1096,1401,1096/1401,810,2142
8,113.0,Oysters,10,105.0,408,.461,.835,2.2794117647058822,.388,16.151960784313726,0.9803921568627451,4.33578431372549,3.8529411764705883,0.928921568627451,0.4019607843137255,1.9264705882352942,2.232843137254902,0.12745098039215685,2392,5189,2392/5189,876,1049,876/1049,930,2394
9,112.5,螃蟹,8,114.0,428,.472*,.776,1.644859813084112,.372,15.574766355140186,1.5514018691588785,5.13785046728972,3.5817757009345796,0.8785046728971962,0.45560747663551404,1.939252336448598,2.369158878504673,0.2827102803738318,2485,5261,2485/5261,992,1278,992/1278,704,1895
10,110.0,Little Whale,9,108.0,423,.467*,.809,1.6312056737588652,.373,14.768321513002364,1.1702127659574468,4.300236406619385,2.9976359338061465,0.9314420803782506,0.7683215130023641,1.541371158392435,2.028368794326241,0.08747044917257683,2273,4866,2273/4866,1011,1250,1011/1250,690,1852
11,99.0,翻車魚丸,12,96.5,435,.464,.747,1.6620689655172414,.369,15.011494252873563,1.2804597701149425,4.735632183908046,2.7103448275862068,0.8574712643678161,0.6137931034482759,1.6850574712643678,2.2298850574712645,0.1839080459770115,2425,5229,2425/5229,957,1281,957/1281,723,1959
12,97.5,鯉魚王,11,103.0,433,.455,.806,1.8868360277136258,.374*,13.97690531177829,1.1709006928406467,4.233256351039261,3.189376443418014,1.0969976905311778,0.6697459584295612,1.5889145496535797,2.399538106235566,0.12702078521939955,2130,4680,2130/4680,975,1209,975/1209,817,2182
13,91.0,Mermaid,13,90.0,426,.467*,.839,1.3943661971830985,.344,14.446009389671362,1.3873239436619718,4.122065727699531,3.1220657276995305,0.7629107981220657,0.7863849765258216,1.8169014084507042,2.335680751173709,0.13849765258215962,2196,4702,2196/4702,1168,1392,1168/1392,594,1727
14,87.0,Sea Cucumber,14,89.0,426,.467*,.780,1.7652582159624413,.380,15.544600938967136,1.0868544600938967,4.467136150234742,3.528169014084507,0.7910798122065728,0.5938967136150235,2.063380281690141,2.2699530516431925,0.1619718309859155,2404,5153,2404/5153,1062,1361,1062/1361,752,1977
15,84.0,透抽,15,86.0,423,.472*,.782*,1.612293144208038,.364,16.692671394799053,0.9739952718676123,4.2695035460992905,3.4444444444444446,0.8463356973995272,0.6430260047281324,2.021276595744681,2.215130023640662,0.13238770685579196,2532,5369,2532/5369,1315,1681,1315/1681,682,1875
16,76.5,吻仔魚去頭去尾留中段,16,67.0,370,.482*,.777,1.162162162162162,.330,14.278378378378378,1.0864864864864865,3.8189189189189188,3.0054054054054054,0.754054054054054,0.7108108108108108,1.691891891891892,1.9135135135135135,0.11891891891891893,1950,4045,1950/4045,953,1226,953/1226,430,1304
