,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,158.0,Sea Horse,1,155.5,104,.471,.779,2.0096153846153846,.400,17.71153846153846,1.375,5.0673076923076925,3.519230769230769,0.9038461538461539,0.6346153846153846,2.0384615384615383,1.8365384615384615,0.21153846153846154,684,1452,684/1452,265,340,265/340,209,523
2,144.5,Little Whale,4,125.5,94,.477*,.820,2.1808510638297873,.407,16.851063829787233,1.1170212765957446,4.638297872340425,3.0106382978723403,0.8191489361702128,0.8085106382978723,1.5425531914893618,2.0106382978723403,0.13829787234042554,578,1213,578/1213,223,272,223/272,205,504
3,124.5,Sponge,3,126.0,104,.466*,.770,1.75,.351,16.634615384615383,1.1346153846153846,5.086538461538462,3.25,0.9711538461538461,0.8173076923076923,2.105769230769231,2.2403846153846154,0.17307692307692307,645,1385,645/1385,258,335,258/335,182,518
4,122.5,螃蟹,5,122.0,103,.454*,.763,1.7281553398058251,.373,15.640776699029127,1.2233009708737863,5.213592233009709,4.203883495145631,1.0485436893203883,0.3883495145631068,2.2135922330097086,2.407766990291262,0.3106796116504854,589,1296,589/1296,255,334,255/334,178,477
5,121.5,Mermaid,8,118.0,103,.467,.839,1.4854368932038835,.358,14.495145631067961,1.2912621359223302,3.970873786407767,3.0679611650485437,1.0776699029126213,0.9611650485436893,1.825242718446602,2.407766990291262,0.10679611650485436,527,1128,527/1128,286,341,286/341,153,427
6,119.0,Sea Urchin,7,118.5,102,.519,.753,1.0392156862745099,.434,14.058823529411764,1.2254901960784315,4.872549019607843,3.627450980392157,0.9607843137254902,0.8529411764705882,1.9705882352941178,2.450980392156863,0.13725490196078433,524,1009,524/1009,280,372,280/372,106,244
7,116.0,Sea Weed,2,127.0,109,.466*,.780*,1.3211009174311927,.338,14.412844036697248,1.201834862385321,4.155963302752293,3.6788990825688073,1.036697247706422,0.7064220183486238,1.926605504587156,2.256880733944954,0.1926605504587156,598,1284,598/1284,231,296,231/296,144,426
8,112.5,透抽,6,121.0,105,.492,.780*,1.5333333333333334,.382,16.333333333333332,1.0476190476190477,4.609523809523809,3.323809523809524,0.8571428571428571,0.5523809523809524,2.0952380952380953,2.276190476190476,0.1619047619047619,619,1258,619/1258,316,405,316/405,161,422
9,112.5,Oysters,10,111.0,102,.454*,.810,2.215686274509804,.372,15.754901960784315,1.0588235294117647,4.480392156862745,3.803921568627451,0.8431372549019608,0.45098039215686275,1.9411764705882353,2.4411764705882355,0.14705882352941177,586,1290,586/1290,209,258,209/258,226,607
10,105.5,Shark,11,107.5,103,.461,.830,1.2815533980582525,.370,13.679611650485437,1.2233009708737863,4.174757281553398,3.436893203883495,1.145631067961165,0.6699029126213593,1.4563106796116505,2.504854368932039,0.0970873786407767,524,1136,524/1136,229,276,229/276,132,357
11,104.0,STaNo. 1水嫩嫩鮭魚生魚片,9,112.0,110,.465,.749,1.6818181818181819,.362,16.78181818181818,1.0727272727272728,4.2,3.5272727272727273,0.9363636363636364,0.4,1.9,2.172727272727273,0.12727272727272726,669,1439,669/1439,323,431,323/431,185,511
12,98.0,Sea Cucumber,12,93.0,96,.464,.783,1.5833333333333333,.354*,15.739583333333334,1.2083333333333333,4.947916666666667,3.5104166666666665,0.7604166666666666,0.5416666666666666,2.2291666666666665,2.4583333333333335,0.1875,548,1181,548/1181,263,336,263/336,152,429
13,93.5,JS Shrimp,14,88.0,96,.446,.712,1.3645833333333333,.326,14.65625,1.71875,4.947916666666667,3.4791666666666665,0.8020833333333334,0.5729166666666666,2.1041666666666665,2.3854166666666665,0.25,513,1151,513/1151,250,351,250/351,131,402
14,84.5,鯉魚王,13,89.0,104,.442,.747,1.5673076923076923,.354*,12.85576923076923,1.2403846153846154,4.451923076923077,3.019230769230769,1.0769230769230769,0.5576923076923077,1.75,2.548076923076923,0.14423076923076922,476,1076,476/1076,222,297,222/297,163,460
15,79.5,吻仔魚去頭去尾留中段,16,74.5,96,.477*,.774,1.21875,.336,12.8125,1.0833333333333333,3.7395833333333335,2.1875,0.7708333333333334,0.6875,1.46875,1.9479166666666667,0.07291666666666667,445,932,445/932,223,288,223/288,117,348
16,72.0,翻車魚丸,15,79.5,109,.453,.754,1.7798165137614679,.380,14.128440366972477,0.981651376146789,3.7155963302752295,2.743119266055046,0.7155963302752294,0.41284403669724773,1.6972477064220184,2.2660550458715596,0.10091743119266056,546,1205,546/1205,254,337,254/337,194,511
