,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,138.0,Shark,1,135.0,627,.490,0.816,1.4370015948963317,.359,16.955342902711322,1.2185007974481659,4.529505582137161,4.027113237639553,1.0606060606060606,0.6092503987240829,1.7639553429027113,2.1770334928229667,0.1594896331738437,3884,7927,3884/7927,1962,2404,1962/2404,901,2512
2,132.0,Sea Horse,2,132.5,626,.473,0.7829999999999999,1.8067092651757188,.372,16.99361022364217,1.4169329073482428,4.92332268370607,3.2891373801916934,0.8913738019169329,0.6166134185303515,1.889776357827476,2.0447284345047922,0.17092651757188498,4037,8536,4037/8536,1433,1830,1433/1830,1131,3040
3,129.0,STaNo. 1水嫩嫩鮭魚生魚片,4,124.0,615,.487,0.78,1.6634146341463414,.384,16.252032520325205,1.3609756097560977,4.697560975609756,3.245528455284553,0.9040650406504065,0.5430894308943089,1.7772357723577237,2.1170731707317074,0.16910569105691056,3664,7521,3664/7521,1644,2107,1644/2107,1023,2665
4,126.5,Sponge,3,129.5,625,.474,0.782,1.864,.382*,15.5728,1.0,4.7584,3.424,0.9312,0.7328,1.8192,2.1776,0.1648,3505,7397,3505/7397,1558,1993,1558/1993,1165,3046
5,117.0,Sea Urchin,5,123.5,623,.510,0.743,0.8475120385232745,.391,12.57784911717496,1.5682182985553772,4.476725521669342,3.6420545746388444,1.0080256821829856,0.6581059390048154,1.8186195826645264,2.182985553772071,0.15569823434991975,2970,5826,2970/5826,1368,1842,1368/1842,528,1349
6,117.0,Sea Weed,7,115.0,606,.486,0.794,1.2442244224422443,.354,14.8003300330033,1.3613861386138615,4.343234323432343,4.1072607260726075,1.0973597359735974,0.6600660066006601,1.8993399339933994,2.3382838283828384,0.18151815181518152,3402,7007,3402/7007,1411,1778,1411/1778,754,2129
7,114.5,JS Shrimp,6,122.0,639,.467*,0.804,1.8888888888888888,.373,16.718309859154928,1.2222222222222223,4.536776212832551,3.5179968701095463,0.8967136150234741,0.5884194053208138,1.9546165884194053,2.3051643192488265,0.17683881064162754,3859,8258,3859/8258,1758,2186,1758/2186,1207,3236
8,110.0,Oysters,8,113.5,624,.463,0.8420000000000001,2.456730769230769,.397,17.036858974358974,0.9006410256410257,4.217948717948718,3.8685897435897436,0.9663461538461539,0.41025641025641024,1.9743589743589745,2.1794871794871793,0.11217948717948718,3850,8313,3850/8313,1398,1660,1398/1660,1533,3863
9,109.0,螃蟹,10,110.0,625,.468,0.785,1.6208,.365,15.7008,1.4288,5.144,3.8016,0.8656,0.4656,1.9536,2.3248,0.272,3631,7766,3631/7766,1538,1959,1538/1959,1013,2773
10,108.0,鯉魚王,9,112.0,630,.457,0.805,1.8777777777777778,.379,13.677777777777777,1.173015873015873,4.396825396825397,3.2365079365079366,1.096825396825397,0.665079365079365,1.5777777777777777,2.411111111111111,0.1380952380952381,3058,6691,3058/6691,1318,1638,1318/1638,1183,3119
11,107.5,翻車魚丸,10,110.0,632,.467*,0.758,1.7531645569620253,.375,15.846518987341772,1.3006329113924051,4.927215189873418,3.0664556962025316,0.8829113924050633,0.6091772151898734,1.7990506329113924,2.25,0.2088607594936709,3700,7923,3700/7923,1507,1987,1507/1987,1108,2956
12,106.5,Little Whale,13,97.5,596,.467*,0.81,1.592281879194631,.369,14.946308724832214,1.1526845637583893,4.231543624161074,3.0738255033557045,0.9379194630872483,0.7281879194630873,1.6174496644295302,1.9983221476510067,0.09731543624161074,3257,6975,3257/6975,1445,1785,1445/1785,949,2574
13,102.0,Sea Cucumber,12,101.5,624,.467*,0.789,1.7355769230769231,.382*,15.011217948717949,1.1875,4.410256410256411,3.2564102564102564,0.8958333333333334,0.6586538461538461,1.875,2.2516025641025643,0.15705128205128205,3415,7316,3415/7316,1454,1842,1454/1842,1083,2838
14,91.0,透抽,15,87.0,612,.475,0.784,1.630718954248366,.363,16.936274509803923,1.0326797385620916,4.248366013071895,3.4705882352941178,0.8660130718954249,0.6062091503267973,1.9640522875816993,2.1715686274509802,0.13071895424836602,3732,7853,3732/7853,1903,2426,1903/2426,998,2752
15,87.0,Mermaid,14,96.0,623,.472,0.83,1.391653290529695,.350,14.439807383627608,1.3531300160513644,4.093097913322633,3.0497592295345104,0.7303370786516854,0.6982343499197432,1.7191011235955056,2.21669341894061,0.13001605136436598,3237,6855,3237/6855,1655,1994,1655/1994,867,2475
16,73.0,吻仔魚去頭去尾留中段,16,59.0,491,.482,0.768,1.105906313645621,.334,13.79633401221996,1.0224032586558045,3.672097759674134,3.0386965376782076,0.7556008146639511,0.6741344195519349,1.694501018329939,1.8655804480651732,0.1120162932790224,2517,5217,2517/5217,1197,1559,1197/1559,543,1626
