,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,152.0,Sea Horse,1,156.0,196,.474,.791,2.1122448979591835,.396,18.117346938775512,1.2091836734693877,5.030612244897959,3.372448979591837,0.9183673469387755,0.5969387755102041,1.9540816326530612,1.9744897959183674,0.16326530612244897,1321,2789,1321/2789,495,626,495/626,414,1045
2,136.0,Sponge,6,122.0,180,.473,.761,1.788888888888889,.376,15.783333333333333,1.1444444444444444,5.022222222222222,3.088888888888889,0.9111111111111111,0.8444444444444444,1.9444444444444444,2.1222222222222222,0.18333333333333332,1040,2197,1040/2197,439,577,439/577,322,856
3,134.5,Little Whale,2,139.5,195,.470,.794*,1.794871794871795,.383,15.42051282051282,1.1897435897435897,4.4974358974358974,3.1384615384615384,0.8974358974358975,0.8102564102564103,1.5692307692307692,2.123076923076923,0.12307692307692308,1092,2322,1092/2322,473,596,473/596,350,914
4,133.0,螃蟹,3,132.0,188,.457,.785,1.8191489361702127,.372,15.72340425531915,1.3404255319148937,4.99468085106383,3.904255319148936,0.9521276595744681,0.34574468085106386,2.0,2.3191489361702127,0.26595744680851063,1075,2354,1075/2354,464,591,464/591,342,919
5,130.5,Sea Weed,4,128.5,192,.478,.794*,1.3958333333333333,.360,15.0,1.3125,4.088541666666667,3.765625,1.1510416666666667,0.7083333333333334,1.859375,2.28125,0.1875,1098,2295,1098/2295,416,524,416/524,268,744
6,124.0,Sea Urchin,5,123.5,194,.504,.775,0.9381443298969072,.395,13.984536082474227,1.4484536082474226,4.809278350515464,3.7371134020618557,0.8969072164948454,0.7680412371134021,1.922680412371134,2.422680412371134,0.15463917525773196,995,1976,995/1976,541,698,541/698,182,461
7,115.0,透抽,8,108.5,184,.481,.778,1.6630434782608696,.384,16.744565217391305,1.0217391304347827,4.244565217391305,3.597826086956522,0.8478260869565217,0.6141304347826086,2.0869565217391304,2.2717391304347827,0.16304347826086957,1092,2272,1092/2272,591,760,591/760,306,796
8,110.5,JS Shrimp,7,112.5,185,.468,.758,1.6432432432432433,.362*,15.578378378378378,1.5567567567567568,4.8432432432432435,3.562162162162162,0.7891891891891892,0.654054054054054,2.0054054054054054,2.3567567567567567,0.24864864864864866,1049,2240,1049/2240,480,633,480/633,304,839
9,109.0,Oysters,10,107.5,186,.456,.825,2.1666666666666665,.379,15.258064516129032,1.043010752688172,4.408602150537634,3.7580645161290325,0.8440860215053764,0.40860215053763443,1.903225806451613,2.295698924731183,0.13440860215053763,1036,2274,1036/2274,363,440,363/440,403,1064
10,104.5,Shark,12,99.5,191,.477,.819,1.324607329842932,.362*,14.44502617801047,1.2094240837696335,4.272251308900524,3.424083769633508,1.068062827225131,0.6649214659685864,1.6282722513089005,2.5026178010471205,0.1099476439790576,1025,2151,1025/2151,456,557,456/557,253,699
11,98.5,Mermaid,9,108.0,198,.464*,.827,1.4090909090909092,.355,14.262626262626263,1.4393939393939394,4.101010101010101,2.974747474747475,0.8939393939393939,0.8585858585858586,1.7171717171717171,2.3585858585858586,0.13131313131313133,995,2143,995/2143,555,671,555/671,279,787
12,97.5,STaNo. 1水嫩嫩鮭魚生魚片,10,107.5,205,.464*,.747,1.604878048780488,.367,15.839024390243903,1.1268292682926828,4.429268292682927,3.604878048780488,0.9024390243902439,0.47317073170731705,2.0390243902439025,2.234146341463415,0.13170731707317074,1183,2549,1183/2549,552,739,552/739,329,896
13,94.0,鯉魚王,13,97.5,192,.450,.788,1.734375,.366,13.796875,1.2447916666666667,4.28125,2.96875,1.1041666666666667,0.5677083333333334,1.6875,2.328125,0.125,941,2089,941/2089,434,551,434/551,333,911
14,81.0,Sea Cucumber,15,77.5,179,.467,.763,1.5977653631284916,.363,15.53072625698324,1.106145251396648,4.597765363128492,3.5139664804469275,0.7430167597765364,0.5027932960893855,2.1620111731843576,2.2849162011173183,0.15083798882681565,1011,2167,1011/2167,472,619,472/619,286,787
15,76.0,吻仔魚去頭去尾留中段,16,69.0,173,.492,.772,1.2716763005780347,.354,13.913294797687861,1.0751445086705202,3.7630057803468207,2.5953757225433525,0.7514450867052023,0.6647398843930635,1.6127167630057804,1.7803468208092486,0.09826589595375723,883,1794,883/1794,421,545,421/545,220,622
16,72.0,翻車魚丸,14,79.0,203,.452,.752,1.6108374384236452,.364,13.891625615763546,1.1527093596059113,3.9458128078817736,2.4433497536945814,0.7635467980295566,0.6059113300492611,1.5517241379310345,2.2561576354679804,0.12315270935960591,1031,2281,1031/2281,431,573,431/573,327,899
