,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,137.5,Sea Horse,3,129.5,475,.477,.782*,1.8610526315789473,.379,17.11157894736842,1.3621052631578947,4.934736842105263,3.336842105263158,0.9284210526315789,0.6105263157894737,1.936842105263158,2.0505263157894738,0.1705263157894737,3085,6471,3085/6471,1074,1374,1074/1374,884,2330
2,135.0,Shark,1,135.0,468,.492,.815,1.3952991452991452,.359,16.942307692307693,1.2222222222222223,4.568376068376068,4.032051282051282,1.0897435897435896,0.6260683760683761,1.7713675213675213,2.2713675213675213,0.17307692307692307,2911,5914,2911/5914,1454,1783,1454/1783,653,1820
3,126.5,Sponge,2,133.0,488,.474,.782*,1.8524590163934427,.380,15.639344262295081,1.0225409836065573,4.827868852459017,3.2889344262295084,0.9180327868852459,0.7192622950819673,1.8627049180327868,2.122950819672131,0.1598360655737705,2739,5780,2739/5780,1250,1598,1250/1598,904,2376
4,125.5,JS Shrimp,6,126.5,487,.469*,.795,1.9301848049281314,.377,16.856262833675565,1.2505133470225873,4.681724845995893,3.6180698151950716,0.8418891170431212,0.6344969199178645,1.9507186858316221,2.260780287474333,0.19507186858316222,2962,6320,2962/6320,1345,1692,1345/1692,940,2492
5,125.0,Sea Urchin,4,127.0,482,.505,.753,0.8838174273858921,.398,13.161825726141078,1.5829875518672198,4.562240663900415,3.719917012448133,0.950207468879668,0.6390041493775933,1.8464730290456433,2.1825726141078836,0.17012448132780084,2378,4706,2378/4706,1162,1543,1162/1543,426,1071
6,123.0,STaNo. 1水嫩嫩鮭魚生魚片,4,127.0,494,.483*,.780*,1.6295546558704452,.375*,16.927125506072876,1.3987854251012146,4.746963562753036,3.548582995951417,0.9149797570850202,0.5263157894736842,1.9230769230769231,2.216599190283401,0.18218623481781376,3059,6330,3059/6330,1439,1845,1439/1845,805,2149
7,117.0,Sea Weed,7,122.0,476,.486,.787,1.2584033613445378,.357,14.972689075630251,1.3718487394957983,4.235294117647059,3.991596638655462,1.1176470588235294,0.6869747899159664,1.865546218487395,2.342436974789916,0.18067226890756302,2732,5623,2732/5623,1064,1352,1064/1352,599,1677
8,113.5,螃蟹,8,111.0,472,.471,.780*,1.6355932203389831,.370,15.625,1.5084745762711864,5.122881355932203,3.6207627118644066,0.8771186440677966,0.4449152542372881,1.9385593220338984,2.3389830508474576,0.2817796610169492,2744,5822,2744/5822,1115,1429,1115/1429,772,2088
9,113.0,Little Whale,11,102.0,452,.469*,.808*,1.6327433628318584,.375*,14.858407079646017,1.1902654867256637,4.272123893805309,2.982300884955752,0.9380530973451328,0.7566371681415929,1.5353982300884956,2.0376106194690267,0.08849557522123894,2451,5229,2451/5229,1076,1331,1076/1331,738,1966
10,111.0,Oysters,9,110.0,454,.463,.842,2.3105726872246697,.391,16.431718061674008,0.9713656387665198,4.284140969162996,3.814977973568282,0.920704845814978,0.41409691629955947,1.9515418502202644,2.2158590308370045,0.12555066079295155,2709,5856,2709/5856,993,1180,993/1180,1049,2683
11,102.5,鯉魚王,10,102.5,474,.455,.808*,1.8966244725738397,.375*,14.0,1.1983122362869199,4.255274261603375,3.210970464135021,1.1033755274261603,0.6687763713080169,1.5949367088607596,2.409282700421941,0.1308016877637131,2339,5136,2339/5136,1059,1311,1059/1311,899,2395
12,101.0,翻車魚丸,12,101.0,485,.461,.756,1.6577319587628867,.365,15.072164948453608,1.2494845360824742,4.781443298969072,2.802061855670103,0.8721649484536083,0.6536082474226804,1.7195876288659795,2.2556701030927835,0.18556701030927836,2707,5867,2707/5867,1092,1445,1092/1445,804,2201
13,91.5,Sea Cucumber,13,95.5,476,.469*,.786,1.773109243697479,.384,15.390756302521009,1.115546218487395,4.487394957983193,3.4453781512605044,0.8130252100840336,0.615546218487395,2.027310924369748,2.2710084033613445,0.16596638655462184,2661,5673,2661/5673,1160,1475,1160/1475,844,2197
14,85.5,Mermaid,14,95.0,471,.469*,.836,1.384288747346072,.347,14.280254777070065,1.346072186836518,4.131634819532909,3.08067940552017,0.7388535031847133,0.7622080679405521,1.813163481953291,2.284501061571125,0.14012738853503184,2402,5118,2402/5118,1270,1520,1270/1520,652,1880
15,84.0,透抽,15,89.0,479,.472,.783,1.5845511482254697,.361,16.54070981210856,0.9770354906054279,4.237995824634655,3.478079331941545,0.860125260960334,0.6325678496868476,2.0271398747390394,2.1774530271398747,0.12108559498956159,2841,6025,2841/6025,1482,1892,1482/1892,759,2105
16,76.5,吻仔魚去頭去尾留中段,16,62.0,396,.483*,.775,1.1616161616161615,.335,14.18939393939394,1.0656565656565657,3.7777777777777777,3.0025252525252526,0.7525252525252525,0.696969696969697,1.6843434343434343,1.9242424242424243,0.11363636363636363,2076,4295,2076/4295,1007,1300,1007/1300,460,1373
