,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,142.0,Little Whale,3,125.5,46,.472,.806,2.108695652173913,.396,16.369565217391305,1.1304347826086956,4.695652173913044,3.0652173913043477,0.9782608695652174,0.6086956521739131,1.8043478260869565,2.0217391304347827,0.13043478260869565,278,589,278/589,100,124,100/124,97,245
2,137.0,Sea Horse,1,147.0,53,.462,.776*,1.8867924528301887,.410,16.69811320754717,1.3773584905660377,4.943396226415095,3.207547169811321,0.9056603773584906,0.49056603773584906,2.1132075471698113,2.056603773584906,0.18867924528301888,319,701,319/701,134,173,134/173,99,245
3,124.5,螃蟹,5,120.5,48,.475*,.744,1.5625,.373,16.041666666666668,1.4375,5.854166666666667,4.270833333333333,0.9791666666666666,0.5,2.3541666666666665,2.7291666666666665,0.3958333333333333,285,600,285/600,125,168,125/168,75,201
4,121.5,Sea Cucumber,7,118.0,49,.475*,.772,1.7346938775510203,.371,16.489795918367346,1.3061224489795917,4.387755102040816,3.7346938775510203,0.9183673469387755,0.4897959183673469,2.306122448979592,2.489795918367347,0.20408163265306123,270,573,270/573,125,161,125/161,82,214
5,121.0,Mermaid,2,128.0,54,.478,.868,1.5925925925925926,.357,15.62962962962963,1.0185185185185186,3.9814814814814814,3.0555555555555554,1.0555555555555556,0.8888888888888888,1.8888888888888888,2.2962962962962963,0.07407407407407407,290,607,290/607,178,205,178/205,86,241
6,118.5,STaNo. 1水嫩嫩鮭魚生魚片,10,112.0,48,.463*,.718,1.6875,.367,17.166666666666668,1.1458333333333333,5.020833333333333,3.2083333333333335,1.0833333333333333,0.4583333333333333,1.9583333333333333,2.3958333333333335,0.20833333333333334,318,677,318/677,151,209,151/209,85,230
7,117.5,Sea Urchin,4,122.0,52,.515,.746*,0.9423076923076923,.441,13.75,1.3461538461538463,4.538461538461538,3.4423076923076925,1.0,0.8846153846153846,2.1346153846153846,2.576923076923077,0.11538461538461539,270,525,270/525,158,209,158/209,49,113
8,114.5,透抽,6,119.0,52,.477,.799,1.5384615384615385,.381*,16.173076923076923,1.2115384615384615,4.269230769230769,3.1538461538461537,0.8461538461538461,0.6153846153846154,1.9615384615384615,2.5384615384615383,0.1346153846153846,329,682,329/682,156,196,156/196,88,227
9,109.5,Oysters,9,116.0,50,.449,.870,2.34,.381*,15.1,0.74,4.16,3.44,0.94,0.56,1.94,2.32,0.06,272,606,272/606,94,108,94/108,117,307
10,107.0,Sea Weed,12,105.0,47,.470,.752,1.3617021276595744,.340,14.27659574468085,1.2553191489361701,4.042553191489362,4.0,0.8936170212765957,0.7021276595744681,1.9148936170212767,2.3404255319148937,0.19148936170212766,278,598,278/598,107,140,107/140,71,215
11,105.0,Shark,13,100.0,46,.460,.808,1.1956521739130435,.379,13.434782608695652,1.326086956521739,3.717391304347826,3.717391304347826,1.2391304347826086,0.4782608695652174,1.6521739130434783,2.6956521739130435,0.06521739130434782,236,511,236/511,99,124,99/124,55,145
12,103.5,JS Shrimp,14,84.5,38,.463*,.698,1.3421052631578947,.349,15.473684210526315,2.0789473684210527,5.131578947368421,3.3684210526315788,0.8157894736842105,0.5263157894736842,2.3421052631578947,2.3157894736842106,0.2631578947368421,205,443,205/443,127,182,127/182,51,146
13,101.0,Sponge,11,108.5,53,.446,.776*,1.4528301886792452,.309,15.415094339622641,1.0377358490566038,4.943396226415095,2.9622641509433962,1.0566037735849056,0.6415094339622641,2.2830188679245285,2.2641509433962264,0.20754716981132076,304,681,304/681,132,170,132/170,77,249
14,96.5,鯉魚王,8,117.0,56,.445,.746*,1.625,.358,12.446428571428571,1.1428571428571428,4.232142857142857,3.0535714285714284,1.1607142857142858,0.6607142857142857,1.7321428571428572,2.3214285714285716,0.125,255,569,255/569,107,144,107/144,92,256
15,85.0,吻仔魚去頭去尾留中段,15,81.5,48,.479,.758,1.0,.322,12.854166666666666,1.1666666666666667,3.5416666666666665,2.125,0.625,0.625,1.2708333333333333,2.0625,0.0625,229,482,229/482,119,157,119/157,49,151
16,64.0,翻車魚丸,16,63.5,52,.455,.754,1.7115384615384615,.360,12.865384615384615,0.6923076923076923,3.230769230769231,2.423076923076923,0.7115384615384616,0.4230769230769231,1.9230769230769231,2.25,0.057692307692307696,256,572,256/572,106,142,106/142,94,264
