,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,155.0,Sea Horse,1,155.0,224,.476,.790,2.0535714285714284,.395,17.995535714285715,1.2276785714285714,5.107142857142857,3.330357142857143,0.8928571428571429,0.6205357142857143,1.90625,1.9776785714285714,0.16964285714285715,1515,3180,1515/3180,541,685,541/685,460,1165
2,139.5,Little Whale,2,144.0,229,.473,.802,1.7991266375545851,.387,15.48471615720524,1.2183406113537119,4.489082969432315,3.109170305676856,0.9126637554585153,0.834061135371179,1.5109170305676856,2.1353711790393013,0.11353711790393013,1285,2717,1285/2717,564,703,564/703,412,1065
3,133.0,Sponge,4,123.5,215,.472,.768,1.8232558139534885,.381,15.637209302325582,1.1023255813953488,4.888372093023256,3.088372093023256,0.9162790697674419,0.813953488372093,1.9209302325581394,2.1116279069767443,0.17209302325581396,1224,2592,1224/2592,522,680,522/680,392,1029
4,130.0,Sea Urchin,3,131.5,228,.504,.771,0.8859649122807017,.385,13.736842105263158,1.486842105263158,4.728070175438597,3.7850877192982457,0.9210526315789473,0.7280701754385965,1.8728070175438596,2.3640350877192984,0.17105263157894737,1156,2295,1156/2295,618,802,618/802,202,525
5,125.0,Sea Weed,5,120.5,215,.475,.789,1.3162790697674418,.353,14.730232558139535,1.3209302325581396,4.037209302325581,3.874418604651163,1.1906976744186046,0.7116279069767442,1.916279069767442,2.2372093023255815,0.1813953488372093,1217,2562,1217/2562,450,570,450/570,283,802
6,120.5,螃蟹,6,114.0,215,.461,.786,1.7813953488372094,.371*,15.52093023255814,1.3395348837209302,4.944186046511628,3.7488372093023257,0.8837209302325582,0.3674418604651163,2.027906976744186,2.2883720930232556,0.26046511627906976,1224,2653,1224/2653,506,644,506/644,383,1031
7,117.5,Oysters,8,111.0,212,.462*,.835,2.25,.391,15.726415094339623,1.0330188679245282,4.39622641509434,3.7452830188679247,0.8490566037735849,0.42924528301886794,1.8915094339622642,2.2783018867924527,0.12735849056603774,1216,2631,1216/2631,425,509,425/509,477,1220
8,114.0,JS Shrimp,7,113.0,214,.467,.763,1.6822429906542056,.368,15.663551401869158,1.5186915887850467,4.822429906542056,3.542056074766355,0.780373831775701,0.6308411214953271,1.939252336448598,2.303738317757009,0.24766355140186916,1219,2608,1219/2608,554,726,554/726,360,978
9,108.0,Shark,10,107.5,217,.480,.820,1.3179723502304148,.358,14.95852534562212,1.1889400921658986,4.32258064516129,3.6036866359447006,1.0506912442396312,0.6912442396313364,1.6774193548387097,2.47926267281106,0.11981566820276497,1200,2501,1200/2501,560,683,560/683,286,800
10,102.5,透抽,13,97.5,209,.485,.779*,1.6363636363636365,.383,16.952153110047846,1.014354066985646,4.239234449760765,3.569377990430622,0.8373205741626795,0.5885167464114832,2.1004784688995217,2.2679425837320575,0.15311004784688995,1263,2605,1263/2605,675,866,675/866,342,894
11,98.5,STaNo. 1水嫩嫩鮭魚生魚片,9,110.0,238,.463,.752,1.5546218487394958,.366*,15.768907563025211,1.2058823529411764,4.495798319327731,3.6260504201680672,0.9159663865546218,0.5168067226890757,2.0294117647058822,2.2478991596638656,0.15126050420168066,1367,2950,1367/2950,649,863,649/863,370,1010
12,94.5,鯉魚王,11,102.5,226,.454,.781,1.7743362831858407,.371*,13.88495575221239,1.3141592920353982,4.1902654867256635,2.9601769911504423,1.1150442477876106,0.5575221238938053,1.6415929203539823,2.2920353982300883,0.12389380530973451,1119,2466,1119/2466,499,639,499/639,401,1082
13,92.0,Mermaid,12,101.0,229,.462*,.825,1.3930131004366813,.351,14.008733624454148,1.4585152838427948,4.131004366812227,2.938864628820961,0.8602620087336245,0.834061135371179,1.7292576419213974,2.4017467248908297,0.13537117903930132,1131,2447,1131/2447,627,760,627/760,319,910
14,81.5,吻仔魚去頭去尾留中段,15,73.0,199,.488,.779*,1.2914572864321607,.352,14.125628140703517,1.0804020100502512,3.8442211055276383,2.71356783919598,0.7939698492462312,0.6381909547738693,1.6532663316582914,1.829145728643216,0.10552763819095477,1028,2107,1028/2107,498,639,498/639,257,730
15,79.5,Sea Cucumber,16,69.0,205,.466,.757,1.6341463414634145,.366*,15.268292682926829,1.0585365853658537,4.619512195121951,3.4585365853658536,0.7317073170731707,0.4975609756097561,2.097560975609756,2.2439024390243905,0.15609756097560976,1145,2459,1145/2459,505,667,505/667,335,915
16,77.0,翻車魚丸,14,95.0,236,.455,.754,1.7076271186440677,.375,14.177966101694915,1.1567796610169492,4.046610169491525,2.4533898305084745,0.7584745762711864,0.6059322033898306,1.5254237288135593,2.25,0.1271186440677966,1225,2694,1225/2694,493,654,493/654,403,1074
