,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,154.5,Sea Horse,1,153.0,233,.475,.789,2.0257510729613735,.390*,17.909871244635195,1.2231759656652361,5.133047210300429,3.351931330472103,0.9098712446351931,0.630901287553648,1.9012875536480687,2.0,0.17167381974248927,1570,3302,1570/3302,561,711,561/711,472,1209
2,140.5,Little Whale,2,142.5,237,.474*,.806,1.7848101265822784,.387,15.49367088607595,1.2067510548523206,4.493670886075949,3.1181434599156117,0.9451476793248945,0.8143459915611815,1.5358649789029535,2.1223628691983123,0.11392405063291139,1329,2801,1329/2801,591,733,591/733,423,1094
3,131.0,Sponge,4,123.0,223,.471,.770,1.8161434977578474,.380,15.663677130044842,1.094170403587444,4.852017937219731,3.1121076233183858,0.9237668161434978,0.8116591928251121,1.9103139013452914,2.1300448430493275,0.17040358744394618,1271,2696,1271/2696,546,709,546/709,405,1067
4,128.5,Sea Urchin,3,132.0,239,.501,.775,0.9079497907949791,.390*,13.832635983263598,1.502092050209205,4.669456066945607,3.8242677824267783,0.9163179916317992,0.7196652719665272,1.8744769874476988,2.3305439330543933,0.17154811715481172,1210,2417,1210/2417,669,863,669/863,217,557
5,127.0,Oysters,5,120.0,221,.463*,.833,2.2895927601809953,.392,15.945701357466064,1.0316742081447965,4.416289592760181,3.7963800904977374,0.8506787330316742,0.4253393665158371,1.8733031674208145,2.257918552036199,0.13574660633484162,1280,2765,1280/2765,458,550,458/550,506,1292
6,125.5,Sea Weed,6,119.5,222,.474*,.790,1.3468468468468469,.355,14.887387387387387,1.3198198198198199,4.058558558558558,3.8603603603603602,1.1846846846846846,0.7297297297297297,1.9144144144144144,2.234234234234234,0.18468468468468469,1271,2679,1271/2679,464,587,464/587,299,842
7,121.0,螃蟹,7,116.5,220,.462,.788,1.790909090909091,.375,15.590909090909092,1.3954545454545455,4.986363636363636,3.731818181818182,0.8772727272727273,0.38181818181818183,2.018181818181818,2.286363636363636,0.2636363636363636,1254,2712,1254/2712,528,670,528/670,394,1052
8,116.0,JS Shrimp,8,113.5,222,.467,.767,1.7252252252252251,.372,15.756756756756756,1.5045045045045045,4.788288288288288,3.545045045045045,0.7792792792792793,0.6711711711711712,1.954954954954955,2.3378378378378377,0.24774774774774774,1271,2719,1271/2719,573,747,573/747,383,1029
9,108.0,Shark,10,107.5,224,.479,.812,1.3392857142857142,.360,15.071428571428571,1.1785714285714286,4.308035714285714,3.6294642857142856,1.0357142857142858,0.6875,1.6696428571428572,2.5044642857142856,0.12053571428571429,1247,2602,1247/2602,582,717,582/717,300,834
10,101.5,透抽,13,97.0,217,.481,.780*,1.6221198156682028,.378,16.94009216589862,1.0184331797235022,4.258064516129032,3.6267281105990783,0.8387096774193549,0.5990783410138248,2.0737327188940093,2.28110599078341,0.15668202764976957,1308,2722,1308/2722,708,908,708/908,352,932
11,95.0,STaNo. 1水嫩嫩鮭魚生魚片,9,110.5,250,.463*,.754,1.552,.366,15.672,1.184,4.52,3.664,0.912,0.528,2.012,2.26,0.148,1430,3091,1430/3091,670,889,670/889,388,1061
12,93.0,鯉魚王,11,98.5,235,.452,.782,1.778723404255319,.370,13.957446808510639,1.3021276595744682,4.25531914893617,2.991489361702128,1.1106382978723404,0.5617021276595745,1.6340425531914893,2.293617021276596,0.1276595744680851,1165,2576,1165/2576,532,680,532/680,418,1130
13,90.0,Mermaid,12,97.5,237,.461,.828,1.3924050632911393,.350,14.012658227848101,1.4641350210970465,4.135021097046414,2.9240506329113924,0.8481012658227848,0.8227848101265823,1.7046413502109705,2.4008438818565403,0.1350210970464135,1173,2547,1173/2547,645,779,645/779,330,944
14,79.5,吻仔魚去頭去尾留中段,15,75.0,210,.486,.780*,1.3,.349,14.2,1.0952380952380953,3.8476190476190477,2.7142857142857144,0.7904761904761904,0.6476190476190476,1.680952380952381,1.8714285714285714,0.10476190476190476,1090,2245,1090/2245,529,678,529/678,273,782
15,79.0,Sea Cucumber,16,67.5,216,.463*,.760,1.625,.364,15.189814814814815,1.0555555555555556,4.62962962962963,3.4212962962962963,0.7314814814814815,0.48148148148148145,2.074074074074074,2.2175925925925926,0.1574074074074074,1197,2588,1197/2588,536,705,536/705,351,963
16,78.0,翻車魚丸,14,94.5,246,.454,.755,1.7357723577235773,.376,14.284552845528456,1.1341463414634145,4.069105691056911,2.4430894308943087,0.7479674796747967,0.5934959349593496,1.524390243902439,2.2439024390243905,0.13008130081300814,1288,2835,1288/2835,511,677,511/677,427,1135
