,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,140.0,Sea Horse,2,132.0,459,.478,.783*,1.8867102396514162,.382*,17.22875816993464,1.3485838779956427,4.947712418300654,3.337690631808279,0.9281045751633987,0.6078431372549019,1.9389978213507626,2.0501089324618738,0.1721132897603486,2996,6273,2996/6273,1050,1341,1050/1341,866,2265
2,132.0,Shark,1,134.0,455,.491,.816,1.378021978021978,.356,16.793406593406594,1.2175824175824175,4.538461538461538,4.05054945054945,1.0857142857142856,0.6307692307692307,1.7516483516483516,2.265934065934066,0.17142857142857143,2812,5726,2812/5726,1390,1703,1390/1703,627,1760
3,128.0,Sea Urchin,4,129.5,469,.504,.757,0.906183368869936,.399,13.260127931769723,1.5927505330490406,4.569296375266524,3.7569296375266523,0.9488272921108742,0.6311300639658849,1.8443496801705757,2.1876332622601278,0.17057569296375266,2325,4609,2325/4609,1144,1512,1144/1512,425,1064
4,125.0,JS Shrimp,3,130.0,468,.469*,.795,1.9401709401709402,.379,16.94871794871795,1.2478632478632479,4.69017094017094,3.6367521367521367,0.8461538461538461,0.6239316239316239,1.9594017094017093,2.2457264957264957,0.19658119658119658,2862,6096,2862/6096,1300,1635,1300/1635,908,2396
5,123.0,Sponge,4,129.5,473,.472*,.780*,1.8604651162790697,.381,15.54968287526427,1.0105708245243128,4.807610993657505,3.2621564482029597,0.9217758985200846,0.7167019027484144,1.8562367864693445,2.1014799154334036,0.1543340380549683,2639,5595,2639/5595,1197,1534,1197/1534,880,2310
6,123.0,STaNo. 1水嫩嫩鮭魚生魚片,6,127.5,481,.483,.779,1.6507276507276507,.378,16.92099792099792,1.3825363825363826,4.733887733887734,3.58004158004158,0.918918918918919,0.525987525987526,1.9397089397089398,2.228690228690229,0.18087318087318088,2978,6163,2978/6163,1389,1784,1389/1784,794,2100
7,122.0,Sea Weed,7,123.5,464,.488,.787,1.2629310344827587,.358,15.049568965517242,1.355603448275862,4.260775862068965,3.9698275862068964,1.1077586206896552,0.6939655172413793,1.8642241379310345,2.336206896551724,0.18318965517241378,2679,5494,2679/5494,1039,1320,1039/1320,586,1639
8,116.0,Oysters,9,110.5,441,.464,.840,2.303854875283447,.390,16.424036281179138,0.981859410430839,4.301587301587301,3.854875283446712,0.9365079365079365,0.40589569160997735,1.9591836734693877,2.2176870748299318,0.1292517006802721,2627,5667,2627/5667,973,1158,973/1158,1016,2607
9,114.5,螃蟹,8,111.0,460,.470,.780*,1.641304347826087,.370,15.626086956521739,1.5239130434782608,5.126086956521739,3.5847826086956522,0.8782608695652174,0.44782608695652176,1.932608695652174,2.347826086956522,0.28043478260869564,2675,5687,2675/5687,1083,1388,1083/1388,755,2042
10,112.0,Little Whale,10,104.5,445,.469*,.808*,1.6269662921348316,.375*,14.840449438202247,1.1820224719101124,4.269662921348314,2.986516853932584,0.9348314606741573,0.7617977528089888,1.5393258426966292,2.0314606741573034,0.08764044943820225,2408,5136,2408/5136,1064,1317,1064/1317,724,1932
11,100.0,鯉魚王,11,102.0,458,.455,.808*,1.9061135371179039,.375*,13.98471615720524,1.1812227074235808,4.264192139737991,3.203056768558952,1.1069868995633187,0.6637554585152838,1.5851528384279476,2.3973799126637556,0.12663755458515283,2256,4957,2256/4957,1020,1263,1020/1263,873,2325
12,99.0,翻車魚丸,12,99.5,473,.460,.754,1.6469344608879493,.364,14.989429175475687,1.2727272727272727,4.784355179704017,2.748414376321353,0.8752642706131079,0.6596194503171248,1.7124735729386893,2.2389006342494713,0.1839323467230444,2629,5710,2629/5710,1053,1396,1053/1396,779,2141
13,91.0,Sea Cucumber,13,97.0,460,.469*,.783*,1.7630434782608695,.382*,15.439130434782609,1.1195652173913044,4.473913043478261,3.4521739130434783,0.8173913043478261,0.6108695652173913,2.015217391304348,2.273913043478261,0.16521739130434782,2578,5496,2578/5496,1135,1449,1135/1449,811,2121
14,87.0,Mermaid,14,89.0,459,.468,.836,1.3856209150326797,.346,14.270152505446623,1.3529411764705883,4.130718954248366,3.0958605664488017,0.7516339869281046,0.7690631808278867,1.803921568627451,2.298474945533769,0.1437908496732026,2340,5004,2340/5004,1234,1476,1234/1476,636,1836
15,79.5,透抽,15,86.5,460,.472*,.782,1.5956521739130434,.362,16.55217391304348,0.9760869565217392,4.232608695652174,3.467391304347826,0.8673913043478261,0.6282608695652174,2.017391304347826,2.1891304347826086,0.12391304347826088,2728,5784,2728/5784,1424,1822,1424/1822,734,2027
16,76.0,吻仔魚去頭去尾留中段,16,62.0,390,.484,.776,1.1538461538461537,.332,14.174358974358974,1.0743589743589743,3.7794871794871794,2.994871794871795,0.7512820512820513,0.7,1.6846153846153846,1.9102564102564104,0.11282051282051282,2044,4225,2044/4225,990,1275,990/1275,450,1354
