,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,142.0,Little Whale,2,146.0,148,.472,.802,1.9662162162162162,.395,16.027027027027028,1.1689189189189189,4.608108108108108,3.189189189189189,0.8648648648648649,0.831081081081081,1.6216216216216217,2.108108108108108,0.12837837837837837,864,1830,864/1830,353,440,353/440,291,737
2,141.0,Sea Horse,1,149.0,153,.468,.787,2.0,.391,17.562091503267975,1.2679738562091503,4.954248366013072,3.3529411764705883,0.9281045751633987,0.5882352941176471,2.019607843137255,2.0130718954248366,0.1830065359477124,1002,2143,1002/2143,377,479,377/479,306,782
3,137.5,Sponge,6,125.5,143,.470*,.751,1.7832167832167831,.368,16.062937062937063,1.1538461538461537,5.062937062937063,3.2167832167832167,0.951048951048951,0.8671328671328671,2.006993006993007,2.2167832167832167,0.1958041958041958,843,1793,843/1793,356,474,356/474,255,693
4,129.0,Sea Weed,3,133.0,148,.476,.788,1.3783783783783783,.352,14.966216216216216,1.4391891891891893,4.168918918918919,3.5067567567567566,1.135135135135135,0.7027027027027027,1.837837837837838,2.3378378378378377,0.20945945945945946,846,1778,846/1778,319,405,319/405,204,580
5,128.5,Sea Urchin,5,127.0,148,.509,.781*,0.9391891891891891,.397,14.31081081081081,1.3513513513513513,4.891891891891892,3.7432432432432434,0.918918918918919,0.7702702702702703,2.0135135135135136,2.47972972972973,0.16216216216216217,765,1504,765/1504,449,575,449/575,139,350
6,124.0,螃蟹,4,128.5,145,.457,.762,1.7655172413793103,.364,15.86896551724138,1.2758620689655173,5.220689655172414,4.062068965517241,1.0482758620689656,0.41379310344827586,2.0344827586206895,2.393103448275862,0.2896551724137931,850,1859,850/1859,345,453,345/453,256,703
7,121.0,透抽,7,122.5,150,.493,.778,1.6866666666666668,.393,16.953333333333333,1.04,4.306666666666667,3.533333333333333,0.8733333333333333,0.62,2.08,2.1866666666666665,0.16,907,1840,907/1840,476,612,476/612,253,644
8,105.5,Oysters,8,107.5,147,.450,.821*,2.1360544217687076,.367,15.231292517006803,1.0612244897959184,4.551020408163265,3.7006802721088436,0.8027210884353742,0.41496598639455784,1.9319727891156462,2.36734693877551,0.14965986394557823,820,1821,820/1821,285,347,285/347,314,855
9,104.5,Mermaid,10,100.5,148,.462,.821*,1.4256756756756757,.358,13.858108108108109,1.3175675675675675,4.054054054054054,3.0,0.9527027027027027,0.8648648648648649,1.7567567567567568,2.385135135135135,0.12162162162162163,725,1570,725/1570,390,475,390/475,211,590
10,104.0,JS Shrimp,11,99.5,140,.460,.744,1.55,.347,15.457142857142857,1.6357142857142857,4.9714285714285715,3.6,0.8142857142857143,0.6357142857142857,2.1285714285714286,2.392857142857143,0.2714285714285714,793,1724,793/1724,361,485,361/485,217,626
11,99.5,Shark,9,101.5,147,.470*,.820,1.2448979591836735,.351,13.938775510204081,1.2108843537414966,4.27891156462585,3.503401360544218,1.129251700680272,0.6394557823129252,1.5850340136054422,2.5850340136054424,0.09523809523809523,769,1635,769/1635,328,400,328/400,183,522
12,96.0,Sea Cucumber,14,87.0,135,.471,.775,1.548148148148148,.360,15.77037037037037,1.1925925925925926,4.888888888888889,3.488888888888889,0.7481481481481481,0.5333333333333333,2.1703703703703705,2.3185185185185184,0.17037037037037037,776,1649,776/1649,368,475,368/475,209,580
13,95.5,鯉魚王,13,94.0,140,.455,.781*,1.6714285714285715,.370,13.764285714285714,1.1857142857142857,4.378571428571429,2.9857142857142858,1.0928571428571427,0.55,1.7642857142857142,2.4785714285714286,0.14285714285714285,682,1500,682/1500,329,421,329/421,234,633
14,94.5,STaNo. 1水嫩嫩鮭魚生魚片,12,99.0,156,.456,.745,1.6602564102564104,.362*,15.897435897435898,1.064102564102564,4.352564102564102,3.6666666666666665,0.9358974358974359,0.48717948717948717,2.0,2.2948717948717947,0.12179487179487179,899,1971,899/1971,423,568,423/568,259,715
15,79.0,吻仔魚去頭去尾留中段,16,69.0,135,.480,.769,1.2444444444444445,.338,13.622222222222222,1.125925925925926,3.837037037037037,2.5703703703703704,0.7185185185185186,0.6666666666666666,1.5037037037037038,1.8074074074074074,0.1037037037037037,671,1397,671/1397,329,428,329/428,168,497
16,66.5,翻車魚丸,15,78.5,158,.454,.740,1.5632911392405062,.362*,14.08860759493671,1.120253164556962,3.892405063291139,2.537974683544304,0.7088607594936709,0.6139240506329114,1.6139240506329113,2.2341772151898733,0.12025316455696203,810,1786,810/1786,359,485,359/485,247,683
