,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分母,FGM分子,FGM/A*,FTM分母,FTM分子,FTM/A*,3PTM_y,3PTA*
0,146.0,Little Whale,5,121.0,38,.497,.830,2.0789473684210527,0.409,16.18421052631579,0.9210526315789473,4.815789473684211,3.263157894736842,0.9210526315789473,0.6578947368421053,1.9210526315789473,1.9473684210526316,0.10526315789473684,229,461,229/461,78,94,78/94,79,193
1,125.0,Sea Horse,1,135.5,47,.457,.776*,1.8297872340425532,0.39399999999999996,16.638297872340427,1.4042553191489362,4.76595744680851,3.25531914893617,0.8936170212765957,0.40425531914893614,2.021276595744681,2.0638297872340425,0.1702127659574468,289,633,289/633,118,152,118/152,86,218
2,121.0,螃蟹,9,114.5,42,.467,.737,1.5,0.368,15.857142857142858,1.4761904761904763,6.142857142857143,4.5,1.0,0.5,2.380952380952381,2.7857142857142856,0.40476190476190477,244,523,244/523,115,156,115/156,63,171
3,119.5,Sea Urchin,4,125.0,47,.519,.746,0.8723404255319149,0.43200000000000005,13.680851063829786,1.4042553191489362,4.446808510638298,3.5531914893617023,0.9787234042553191,0.9574468085106383,2.0851063829787235,2.574468085106383,0.10638297872340426,232,447,232/447,138,185,138/185,41,95
4,119.0,STaNo. 1水嫩嫩鮭魚生魚片,7,119.0,43,.469,.731,1.744186046511628,0.375,17.74418604651163,1.186046511627907,5.023255813953488,3.1627906976744184,1.1162790697674418,0.46511627906976744,1.930232558139535,2.3488372093023258,0.20930232558139536,280,597,280/597,128,175,128/175,75,200
5,118.0,透抽,2,130.0,48,.475,.792,1.6041666666666667,0.389,16.583333333333332,1.2291666666666667,4.25,3.125,0.875,0.625,1.9166666666666667,2.5833333333333335,0.14583333333333334,287,604,287/604,145,183,145/183,77,198
6,118.0,Mermaid,3,126.0,47,.482,.863,1.5319148936170213,0.355,15.72340425531915,1.1063829787234043,3.9148936170212765,2.893617021276596,1.1063829787234043,0.9148936170212766,1.8297872340425532,2.297872340425532,0.06382978723404255,255,529,255/529,157,182,157/182,72,203
7,115.5,Sea Weed,10,114.0,43,.473,.785,1.3488372093023255,0.335,14.581395348837209,1.2093023255813953,4.069767441860465,3.9767441860465116,0.9302325581395349,0.7441860465116279,1.930232558139535,2.255813953488372,0.18604651162790697,237,501,237/501,95,121,95/121,58,173
8,114.0,Sea Cucumber,6,119.5,45,.471,.776*,1.8222222222222222,0.38299999999999995,16.6,1.2,4.377777777777778,3.888888888888889,0.9111111111111111,0.4666666666666667,2.422222222222222,2.577777777777778,0.2,270,573,270/573,125,161,125/161,82,214
9,112.0,Sponge,11,113.0,46,.453,.782,1.5434782608695652,0.32299999999999995,15.695652173913043,1.108695652173913,4.956521739130435,3.1739130434782608,1.1304347826086956,0.6521739130434783,2.282608695652174,2.260869565217391,0.2391304347826087,268,592,268/592,115,147,115/147,71,220
10,109.5,Oysters,8,116.0,44,.447*,.860,2.409090909090909,0.385,15.272727272727273,0.75,4.204545454545454,3.522727272727273,0.9545454545454546,0.5227272727272727,2.0,2.3181818181818183,0.06818181818181818,240,537,240/537,86,100,86/100,106,275
11,108.5,Shark,13,97.5,41,.478,.810,1.2439024390243902,0.375,13.707317073170731,1.3170731707317074,3.707317073170732,3.5853658536585367,1.3170731707317074,0.43902439024390244,1.6341463414634145,2.8292682926829267,0.04878048780487805,215,450,215/450,81,100,81/100,51,136
12,103.0,JS Shrimp,14,87.5,37,.461,.696,1.3783783783783783,0.349,15.756756756756756,2.081081081081081,5.216216216216216,3.4594594594594597,0.8378378378378378,0.5135135135135135,2.4054054054054053,2.324324324324324,0.2702702702702703,203,440,203/440,126,181,126/181,51,146
13,98.5,鯉魚王,12,108.0,48,.447*,.756,1.4791666666666667,0.34600000000000003,12.4375,1.2916666666666667,4.25,2.9583333333333335,1.1666666666666667,0.75,1.8125,2.375,0.14583333333333334,215,481,215/481,96,127,96/127,71,205
14,77.5,吻仔魚去頭去尾留中段,15,78.5,45,.481,.762,0.9111111111111111,0.315,12.577777777777778,1.2,3.311111111111111,2.066666666666667,0.6444444444444445,0.6222222222222222,1.2222222222222223,2.0,0.044444444444444446,208,432,208/432,109,143,109/143,41,130
15,63.0,翻車魚皮,16,63.0,47,.444,.766,1.702127659574468,0.35600000000000004,12.74468085106383,0.6382978723404256,3.127659574468085,2.425531914893617,0.7659574468085106,0.425531914893617,1.8936170212765957,2.234042553191489,0.0425531914893617,212,478,212/478,95,124,95/124,80,225
