,New Total Points,Team Name,Old Rank,Old Total Points,GP*,FG%,FT%,3PTM_x,3PT%,PTS,OREB,DREB,AST,ST,BLK,TO,PF,DD,FGM分子,FGM分母,FGM/A*,FTM分子,FTM分母,FTM/A*,3PTM_y,3PTA*
1,146.0,Sea Horse,1,148.0,148,.468,.786,2.0337837837837838,.396,17.574324324324323,1.304054054054054,4.9324324324324325,3.385135135135135,0.9324324324324325,0.581081081081081,1.9797297297297298,2.0,0.18243243243243243,970,2074,970/2074,360,458,360/458,301,760
2,140.5,Little Whale,2,142.5,141,.474,.804,1.9858156028368794,.400,16.04964539007092,1.1347517730496455,4.602836879432624,3.2127659574468086,0.8652482269503546,0.8368794326241135,1.6595744680851063,2.0851063829787235,0.1347517730496454,825,1742,825/1742,333,414,333/414,280,700
3,138.5,Sponge,3,132.0,138,.473*,.750,1.826086956521739,.372,16.304347826086957,1.144927536231884,5.028985507246377,3.239130434782609,0.9710144927536232,0.8695652173913043,2.0,2.217391304347826,0.18840579710144928,825,1744,825/1744,348,464,348/464,252,678
4,129.0,Sea Weed,5,128.0,145,.475,.787,1.3793103448275863,.348,14.848275862068965,1.4137931034482758,4.110344827586207,3.4827586206896552,1.1517241379310346,0.7034482758620689,1.8206896551724139,2.303448275862069,0.20689655172413793,825,1737,825/1737,303,385,303/385,200,574
5,126.0,Sea Urchin,4,129.0,142,.505,.780*,0.9436619718309859,.400,14.119718309859154,1.380281690140845,4.915492957746479,3.7464788732394365,0.9084507042253521,0.7816901408450704,2.035211267605634,2.4507042253521125,0.16901408450704225,724,1434,724/1434,423,542,423/542,134,335
6,124.0,螃蟹,6,127.0,142,.458,.761,1.7464788732394365,.363,15.852112676056338,1.2746478873239437,5.21830985915493,4.112676056338028,1.0492957746478873,0.4084507042253521,2.0422535211267605,2.3732394366197185,0.2887323943661972,831,1816,831/1816,341,448,341/448,248,684
7,120.0,透抽,7,116.0,144,.492,.775,1.6666666666666667,.388,16.833333333333332,1.0277777777777777,4.340277777777778,3.576388888888889,0.9027777777777778,0.5972222222222222,2.076388888888889,2.1875,0.1597222222222222,868,1763,868/1763,448,578,448/578,240,618
8,106.5,Oysters,8,107.5,143,.449,.823,2.104895104895105,.364*,15.265734265734265,1.083916083916084,4.559440559440559,3.727272727272727,0.8181818181818182,0.4195804195804196,1.951048951048951,2.370629370629371,0.15384615384615385,799,1778,799/1778,284,345,284/345,301,827
9,103.0,JS Shrimp,9,104.0,139,.461,.742,1.5611510791366907,.349,15.482014388489208,1.6474820143884892,4.956834532374101,3.5467625899280577,0.8201438848920863,0.6402877697841727,2.1007194244604315,2.3956834532374103,0.26618705035971224,791,1716,791/1716,353,476,353/476,217,621
10,103.0,Mermaid,10,102.0,147,.463,.819,1.435374149659864,.361,13.82312925170068,1.3265306122448979,4.074829931972789,2.9727891156462585,0.9591836734693877,0.8707482993197279,1.7619047619047619,2.3741496598639458,0.12244897959183673,718,1552,718/1552,385,470,385/470,211,584
11,101.5,Shark,11,98.0,142,.473*,.821,1.2535211267605635,.354,13.985915492957746,1.204225352112676,4.225352112676056,3.4507042253521125,1.1267605633802817,0.647887323943662,1.5774647887323943,2.5492957746478875,0.08450704225352113,746,1577,746/1577,316,385,316/385,178,503
12,94.5,鯉魚王,13,93.0,139,.455,.780*,1.6618705035971224,.371,13.733812949640289,1.1942446043165467,4.374100719424461,3.0,1.1007194244604317,0.5539568345323741,1.7625899280575539,2.4820143884892087,0.14388489208633093,676,1485,676/1485,326,418,326/418,231,622
13,94.0,Sea Cucumber,14,86.0,132,.472,.779,1.553030303030303,.358,15.787878787878787,1.1893939393939394,4.916666666666667,3.4696969696969697,0.75,0.5454545454545454,2.1666666666666665,2.3257575757575757,0.17424242424242425,761,1613,761/1613,357,458,357/458,205,572
14,88.0,STaNo. 1水嫩嫩鮭魚生魚片,11,98.0,151,.457,.745,1.6556291390728477,.362,15.95364238410596,1.0662251655629138,4.337748344370861,3.662251655629139,0.9536423841059603,0.4900662251655629,1.9867549668874172,2.3046357615894038,0.11920529801324503,871,1907,871/1907,417,560,417/560,250,691
15,81.0,吻仔魚去頭去尾留中段,16,71.0,129,.480,.768,1.2248062015503876,.332,13.496124031007753,1.1550387596899225,3.8294573643410854,2.5891472868217056,0.7441860465116279,0.6744186046511628,1.4651162790697674,1.7906976744186047,0.10852713178294573,639,1330,639/1330,305,397,305/397,158,476
16,72.5,翻車魚丸,14,86.0,156,.456,.738,1.5769230769230769,.364*,14.14102564102564,1.1346153846153846,3.9166666666666665,2.5641025641025643,0.717948717948718,0.6217948717948718,1.6282051282051282,2.2371794871794872,0.12179487179487179,804,1765,804/1765,352,477,352/477,246,675
